time	W	Freq	Temp
1615072409.55	6.195	1400000	69.0	
1615072409.75	6.195	1300000	70.0	
1615072409.95	5.943	1200000	69.0	
1615072410.15	5.943	1300000	69.0	
1615072410.35	5.943	1400000	69.0	
1615072410.55	5.943	1300000	70.0	
1615072410.75	6.309	1200000	69.0	
1615072410.95	6.309	1300000	69.0	
1615072411.15	6.309	1400000	69.0	
1615072411.35	6.309	1300000	70.0	
1615072411.55	6.309	1200000	69.0	
1615072411.76	6.336	1300000	69.0	
1615072411.96	6.336	1400000	69.0	
1615072412.16	6.336	1300000	70.0	
1615072412.36	6.336	1400000	70.0	
1615072412.56	6.336	1300000	70.0	
1615072412.76	6.336	1200000	69.0	
1615072412.96	6.294	1300000	69.0	
1615072413.16	6.294	1400000	69.0	
1615072413.36	6.294	1300000	70.0	
1615072413.56	6.294	1200000	69.0	
1615072413.76	6.294	1300000	69.0	
1615072413.96	6.115	1400000	69.0	
1615072414.16	6.115	1300000	70.0	
1615072414.36	6.115	1200000	69.0	
1615072414.56	6.115	1300000	69.0	
1615072414.76	6.115	1400000	69.0	
1615072414.96	5.825	1300000	70.0	
1615072415.16	5.825	1400000	70.0	
1615072415.36	5.825	1300000	70.0	
1615072415.56	5.825	1200000	69.0	
1615072415.76	6.313	1300000	69.0	
1615072415.96	6.313	1400000	69.0	
1615072416.16	6.313	1300000	70.0	
1615072416.37	6.313	1200000	69.0	
1615072416.57	6.313	1300000	69.0	
1615072416.77	5.771	1400000	69.0	
1615072416.97	5.771	1300000	70.0	
1615072417.17	5.771	1200000	69.0	
1615072417.37	5.771	1300000	69.0	
1615072417.57	5.771	1400000	69.0	
1615072417.77	6.118	1300000	70.0	
1615072417.97	6.118	1200000	69.0	
1615072418.17	6.118	1300000	69.0	
1615072418.37	6.118	1400000	70.0	
1615072418.57	6.118	1300000	70.0	
1615072418.77	6.107	1200000	69.0	
1615072418.97	6.107	1300000	69.0	
1615072419.17	6.107	1400000	70.0	
1615072419.37	6.107	1300000	70.0	
1615072419.57	6.107	1400000	70.0	
1615072419.77	6.244	1300000	70.0	
1615072419.97	6.244	1200000	69.0	
1615072420.17	6.244	1300000	69.0	
1615072420.37	6.244	1400000	70.0	
1615072420.57	6.244	1300000	70.0	
1615072420.78	6.248	1200000	69.0	
1615072420.98	6.248	1300000	69.0	
1615072421.18	6.248	1400000	69.0	
1615072421.38	6.248	1300000	70.0	
1615072421.58	6.248	1200000	69.0	
1615072421.78	5.92	1300000	69.0	
1615072421.98	5.92	1400000	70.0	
1615072422.18	5.92	1300000	70.0	
1615072422.38	5.92	1200000	69.0	
1615072422.58	5.92	1300000	69.0	
1615072422.78	5.924	1400000	69.0	
1615072422.98	5.924	1300000	70.0	
1615072423.18	5.924	1200000	70.0	
1615072423.38	5.924	1300000	69.0	
1615072423.58	5.924	1400000	70.0	
1615072423.78	5.886	1300000	70.0	
1615072423.98	5.886	1200000	69.0	
1615072424.18	5.886	1300000	69.0	
1615072424.38	5.886	1400000	70.0	
1615072424.58	5.886	1300000	70.0	
1615072424.78	6.29	1200000	69.0	
1615072424.98	6.29	1300000	69.0	
1615072425.19	6.29	1400000	70.0	
1615072425.39	6.29	1300000	70.0	
